Ano,Código da Área,Área de Avaliação,Grau Acadêmico,Código da IES,Nome da IES*,Sigla da IES*,Organização Acadêmica,Categoria Administrativa,Código do Curso,Modalidade de Ensino,Código do Município**,Município do Curso**,Sigla da UF** ,Nº de Concluintes Inscritos,Nº  de Concluintes Participantes,Nota Bruta - FG,Nota Padronizada - FG,Nota Bruta - CE,Nota Padronizada - CE,Conceito Enade (Contínuo),Conceito Enade (Faixa),Observação,Entidade Beneficiente de Assistência Social (CEBAS)
2021,2501,ARTES VISUAIS ,Licenciatura,746,UNIVERSIDADE REGIONAL DO CARIRI,URCA,Universidade,Pública Estadual,1154848,Educação Presencial,2307304,Juazeiro do Norte,CE,35,29,"32,368","1,792","46,965","2,068","1,999",3,,-
2021,2501,ARTES VISUAIS ,Licenciatura,789,UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,Universidade,Pública Federal,1156313,Educação Presencial,1400100,Boa Vista,RR,9,9,"20,188",0,"41,4","1,367","1,025",2,,-
2021,2501,ARTES VISUAIS ,Licenciatura,830,UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,Universidade,Pública Federal,102702,Educação Presencial,1600303,Macapá,AP,58,34,"36,555","2,408","45,776","1,918","2,041",3,,-
2021,2501,ARTES VISUAIS ,Licenciatura,953,UNIVERSIDADE METROPOLITANA DE SANTOS,UNIMES,Universidade,Privada sem fins lucrativos,100738,Educação a Distância,3548500,Santos,SP,62,50,"31,488","1,663","44,868","1,804","1,768",2,,-
2021,2501,ARTES VISUAIS ,Licenciatura,1036,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,Universidade,Pública Estadual,39550,Educação Presencial,3106200,Belo Horizonte,MG,26,12,"36,225","2,36","57,508","3,394","3,135",4,,-
2021,2501,ARTES VISUAIS ,Licenciatura,1036,UNIVERSIDADE DO ESTADO DE MINAS GERAIS,UEMG,Universidade,Pública Estadual,84006,Educação Presencial,3106200,Belo Horizonte,MG,25,18,"39,077","2,78","58,494","3,518","3,333",4,,-
2021,2501,ARTES VISUAIS ,Licenciatura,1430,CENTRO UNIVERSITÁRIO INGÁ,UNINGÁ,Centro Universitário,Privada com fins lucrativos,1427707,Educação a Distância,4115200,Maringá,PR,21,20,"30,76","1,555","47,685","2,158","2,007",3,,-
2021,2501,ARTES VISUAIS ,Licenciatura,1472,CENTRO UNIVERSITÁRIO LEONARDO DA VINCI,UNIASSELVI,Centro Universitário,Privada com fins lucrativos,111734,Educação a Distância,4207502,Indaial,SC,247,174,"33,841","2,009","42,91","1,558","1,67",2,,-
2021,2501,ARTES VISUAIS ,Licenciatura,1491,CENTRO UNIVERSITÁRIO INTERNACIONAL,UNINTER,Centro Universitário,Privada com fins lucrativos,1333079,Educação a Distância,4106902,Curitiba,PR,736,538,"30,612","1,534","45,508","1,884","1,797",2,,-
2021,2501,ARTES VISUAIS ,Licenciatura,1788,FACULDADE DE ADMINISTRAÇÃO E ARTES DE LIMEIRA,FAAL,Faculdade,Privada com fins lucrativos,99238,Educação Presencial,3526902,Limeira,SP,23,19,"38,231","2,655","48,252","2,229","2,336",3,,-
