Ano,Código da Área,Área de Avaliação,Grau Acadêmico,Código da IES,Nome da IES*,Sigla da IES*,Organização Acadêmica,Categoria Administrativa**,Código do Curso,Modalidade de Ensino,Código do Município,Município do Curso,Sigla da UF,Nº de Concluintes Inscritos,Nº  de Concluintes Participantes,Total Concluinte Acima do Padrão,Percentual Concluintes Acima do Padrão,Conceito Enade (Faixa),CEBAS
2025,12,MEDICINA,Bacharelado,666,UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA,UEFS,Universidade,Pública Estadual,64706,Educação Presencial,2910800,Feira de Santana,BA,29,29,22,"0,759",4,NÃO
2025,12,MEDICINA,Bacharelado,30,UNIVERSIDADE PROFESSOR EDSON ANTÔNIO VELANO,UNIFENAS,Universidade,Privada sem fins lucrativos,64918,Educação Presencial,3106200,Belo Horizonte,MG,246,245,170,"0,694",3,NÃO
2025,12,MEDICINA,Bacharelado,319,UNIVERSIDADE BRASIL,UB,Universidade,Privada com fins lucrativos,65114,Educação Presencial,3515509,Fernandópolis,SP,348,343,123,"0,359",1,NÃO
2025,12,MEDICINA,Bacharelado,308,CENTRO UNIVERSITÁRIO PRESIDENTE ANTÔNIO CARLOS,UNIPAC,Centro Universitário,Privada sem fins lucrativos,65924,Educação Presencial,3136702,Juiz de Fora,MG,64,63,19,"0,302",1,NÃO
2025,12,MEDICINA,Bacharelado,29,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Universidade,Pública Estadual,66248,Educação Presencial,2304400,Fortaleza,CE,74,74,69,"0,932",5,NÃO
2025,12,MEDICINA,Bacharelado,1664,FACULDADE DA SAÚDE E ECOLOGIA HUMANA,FASEH,Faculdade,Privada com fins lucrativos,66361,Educação Presencial,3171204,Vespasiano,MG,128,128,51,"0,398",1,NÃO
2025,12,MEDICINA,Bacharelado,1189,UNIVERSIDADE DO PLANALTO CATARINENSE,UNIPLAC,Universidade,Privada sem fins lucrativos,69464,Educação Presencial,4209300,Lages,SC,49,49,43,"0,878",4,NÃO
2025,12,MEDICINA,Bacharelado,82,UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,Universidade,Comunitária/Confessional,69624,Educação Presencial,4209003,Joaçaba,SC,65,65,54,"0,831",4,SIM
2025,12,MEDICINA,Bacharelado,568,UNIVERSIDADE ESTADUAL DO MARANHÃO,UEMA,Universidade,Pública Estadual,71689,Educação Presencial,2103000,Caxias,MA,26,26,21,"0,808",4,NÃO
2025,12,MEDICINA,Bacharelado,1669,Afya Faculdade de Ciências Médicas de Ipatinga,AFYA IPATINGA,Faculdade,Privada com fins lucrativos,71859,Educação Presencial,3131307,Ipatinga,MG,150,148,112,"0,757",4,NÃO
2025,12,MEDICINA,Bacharelado,71,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,Universidade,Pública Estadual,72417,Educação Presencial,2408003,Mossoró,RN,61,61,49,"0,803",4,NÃO
2025,12,MEDICINA,Bacharelado,1559,CENTRO UNIVERSITÁRIO DO ESPÍRITO SANTO UNESC,UNESC,Centro Universitário,Privada sem fins lucrativos,72663,Educação Presencial,3201506,Colatina,ES,178,178,136,"0,764",4,NÃO
2025,12,MEDICINA,Bacharelado,2082,Afya Faculdade de Ciências Médicas da Paraíba,AFYA PARAÍBA,Faculdade,Privada com fins lucrativos,72667,Educação Presencial,2507507,João Pessoa,PB,178,174,74,"0,425",2,NÃO
2025,12,MEDICINA,Bacharelado,1563,AFYA CENTRO UNIVERSITÁRIO DE TERESINA,Afya Teresina,Centro Universitário,Privada com fins lucrativos,72669,Educação Presencial,2211001,Teresina,PI,308,305,186,"0,61",3,NÃO
2025,12,MEDICINA,Bacharelado,1087,CENTRO UNIVERSITÁRIO APARÍCIO CARVALHO,FIMCA,Centro Universitário,Privada com fins lucrativos,72675,Educação Presencial,1100205,Porto Velho,RO,98,97,53,"0,546",2,NÃO
2025,12,MEDICINA,Bacharelado,1995,FACULDADE DE MEDICINA NOVA ESPERANÇA,FAMENE,Faculdade,Privada com fins lucrativos,72681,Educação Presencial,2507507,João Pessoa,PB,212,206,94,"0,456",2,NÃO
2025,12,MEDICINA,Bacharelado,5544,Afya Faculdade de Porto Nacional,Afya Porto Nacional,Faculdade,Privada com fins lucrativos,72767,Educação Presencial,1718204,Porto Nacional,TO,154,154,66,"0,429",2,NÃO
2025,12,MEDICINA,Bacharelado,2843,FACULDADE DE CIÊNCIAS MÉDICAS E DA SAÚDE DE JUIZ DE FORA,FCMS/JF,Faculdade,Privada com fins lucrativos,74594,Educação Presencial,3136702,Juiz de Fora,MG,137,137,110,"0,803",4,NÃO
